Date,Time,Open,High,Low,Close,Volume
2015-02-02,00:00:00,2192.83,2193.35,2178.73,2188.65,0
2015-02-03,00:00:00,2172.91,2198.27,2169.31,2191.35,0
2015-02-04,00:00:00,2205.91,2207.85,2197.23,2205.37,0
2015-02-05,00:00:00,2218.19,2223.79,2203.86,2213.85,0
2015-02-06,00:00:00,2204.63,2211.05,2200.11,2202.4,0
2015-02-09,00:00:00,2203.92,2208.3,2199.32,2203.35,0
2015-02-10,00:00:00,2201.57,2204.76,2192.3,2201.15,0
2015-02-11,00:00:00,2190.21,2190.72,2182.06,2186.31,0
2015-02-12,00:00:00,2207.74,2211.56,2196.6,2196.82,0
2015-02-13,00:00:00,2214.23,2219.2,2209.49,2218.15,0
2015-02-16,00:00:00,2218.43,2225.27,2218.43,2221.25,0
2015-02-18,00:00:00,2231.04,2234.75,2230.82,2234.09,0
2015-02-19,00:00:00,2226.64,2227.0,2226.64,2226.95,0
2015-02-20,00:00:00,2230.81,2234.38,2230.81,2232.64,0
2015-02-23,00:00:00,2223.2,2233.11,2222.91,2232.83,0
2015-02-24,00:00:00,2218.8,2228.56,2218.66,2227.21,0
2015-02-25,00:00:00,2224.27,2230.15,2215.08,2221.16,0
2015-02-26,00:00:00,2224.6,2237.85,2222.05,2224.02,0
2015-02-27,00:00:00,2239.51,2242.51,2215.32,2216.45,0
2015-02-28,00:00:00,2210.89,2210.89,2210.89,2210.89,0
2015-03-02,00:00:00,2224.41,2229.19,2218.41,2228.55,0
2015-03-03,00:00:00,2225.72,2228.08,2203.71,2209.57,0
2015-03-04,00:00:00,2194.64,2204.5,2185.71,2195.97,0
2015-03-05,00:00:00,2194.57,2195.31,2174.58,2179.62,0
2015-03-09,00:00:00,2169.28,2197.39,2169.28,2187.87,0
2015-03-10,00:00:00,2182.28,2184.04,2165.14,2169.71,0
2015-03-11,00:00:00,2162.47,2170.45,2152.44,2154.73,0
2015-03-12,00:00:00,2161.8,2164.63,2151.83,2157.23,0
2015-03-13,00:00:00,2154.97,2169.99,2154.97,2168.42,0
2015-03-16,00:00:00,2184.38,2184.38,2174.77,2179.35,0
2015-03-17,00:00:00,2187.44,2187.44,2164.61,2171.38,0
2015-03-18,00:00:00,2196.46,2199.87,2187.92,2194.44,0
2015-03-19,00:00:00,2221.58,2223.12,2200.75,2220.78,0
2015-03-20,00:00:00,2208.37,2218.73,2207.59,2209.46,0
2015-03-23,00:00:00,2216.8,2217.8,2207.3,2213.88,0
2015-03-24,00:00:00,2196.74,2206.29,2194.85,2201.45,0
2015-03-25,00:00:00,2203.08,2218.55,2203.08,2218.44,0
2015-03-26,00:00:00,2228.15,2234.53,2220.12,2225.59,0
2015-03-27,00:00:00,2228.89,2229.33,2218.62,2221.8,0
2015-03-30,00:00:00,2259.6,2265.4,2251.72,2257.48,0
2015-03-31,00:00:00,2266.61,2269.54,2256.46,2258.61,0
2015-04-01,00:00:00,2264.52,2268.55,2260.67,2266.19,0
2015-04-06,00:00:00,2277.75,2279.43,2277.24,2278.67,0
2015-04-07,00:00:00,2282.23,2286.43,2281.86,2284.93,0
2015-04-08,00:00:00,2337.83,2369.89,2335.97,2367.82,0
2015-04-09,00:00:00,2459.85,2461.83,2426.43,2429.66,0
2015-04-10,00:00:00,2447.75,2465.47,2434.14,2463.06,0
2015-04-13,00:00:00,2482.45,2536.4,2482.45,2535.18,0
2015-04-15,00:00:00,2489.97,2510.36,2481.21,2497.9,0
2015-04-16,00:00:00,2501.37,2510.69,2491.5,2504.81,0
2015-04-17,00:00:00,2513.54,2519.43,2492.28,2497.58,0
2015-04-20,00:00:00,2498.11,2499.5,2444.53,2466.63,0
2015-04-21,00:00:00,2527.5,2543.12,2512.46,2534.35,0
2015-04-22,00:00:00,2541.7,2552.69,2527.78,2545.19,0
2015-04-23,00:00:00,2559.06,2571.33,2545.31,2545.71,0
2015-04-24,00:00:00,2543.86,2585.28,2535.33,2583.13,0
2015-04-27,00:00:00,2620.39,2634.3,2615.56,2620.18,0
2015-04-28,00:00:00,2605.96,2610.95,2591.27,2601.28,0
2015-04-29,00:00:00,2596.19,2601.87,2582.58,2601.77,0
2015-04-30,00:00:00,2591.64,2599.69,2585.42,2592.98,0
2015-05-04,00:00:00,2605.42,2605.42,2593.55,2594.35,0
2015-05-05,00:00:00,2560.57,2568.7,2540.12,2549.72,0
2015-05-06,00:00:00,2550.59,2573.79,2550.59,2573.79,0
2015-05-07,00:00:00,2540.87,2544.79,2518.99,2539.4,0
2015-05-08,00:00:00,2552.88,2562.68,2534.69,2554.8,0
2015-05-11,00:00:00,2561.74,2573.65,2558.73,2568.77,0
2015-05-12,00:00:00,2568.68,2573.53,2548.73,2549.89,0
2015-05-13,00:00:00,2551.2,2554.67,2526.56,2527.05,0
2015-05-14,00:00:00,2529.43,2532.72,2516.85,2524.68,0
2015-05-15,00:00:00,2524.83,2573.22,2521.42,2562.68,0
2015-05-18,00:00:00,2544.96,2546.84,2527.85,2544.29,0
2015-05-19,00:00:00,2562.37,2562.44,2548.62,2555.22,0
2015-05-20,00:00:00,2551.64,2562.89,2543.94,2552.77,0
2015-05-21,00:00:00,2548.12,2553.87,2538.26,2545.0,0
2015-05-22,00:00:00,2576.26,2589.77,2576.26,2582.64,0
2015-05-25,00:00:00,2585.77,2588.05,2582.65,2582.93,0
2015-05-26,00:00:00,2625.7,2629.88,2615.76,2621.51,0
2015-05-27,00:00:00,2580.26,2581.25,2564.12,2571.12,0
2015-05-28,00:00:00,2568.59,2572.02,2527.86,2546.63,0
2015-05-29,00:00:00,2548.17,2555.07,2533.74,2539.9,0
2015-06-01,00:00:00,2553.65,2564.2,2546.99,2550.92,0
2015-06-02,00:00:00,2529.8,2549.23,2528.29,2546.73,0
2015-06-03,00:00:00,2560.89,2573.49,2559.63,2569.13,0
2015-06-04,00:00:00,2545.38,2584.19,2533.83,2567.89,0
2015-06-05,00:00:00,2497.85,2499.46,2481.72,2482.77,0
2015-06-08,00:00:00,2551.26,2558.96,2545.78,2547.26,0
2015-06-09,00:00:00,2519.45,2528.12,2509.85,2511.69,0
2015-06-10,00:00:00,2517.78,2520.46,2470.62,2478.9,0
2015-06-11,00:00:00,2496.89,2507.59,2494.84,2503.4,0
2015-06-12,00:00:00,2520.54,2549.58,2516.93,2544.32,0
2015-06-15,00:00:00,2513.26,2520.13,2504.2,2508.19,0
2015-06-16,00:00:00,2498.33,2500.8,2483.46,2485.0,0
2015-06-17,00:00:00,2489.51,2509.49,2488.32,2499.37,0
2015-06-18,00:00:00,2487.4,2500.1,2476.0,2480.25,0
2015-06-19,00:00:00,2504.61,2506.8,2476.33,2478.57,0
2015-06-22,00:00:00,2486.9,2514.43,2483.28,2507.93,0
2015-06-23,00:00:00,2520.56,2544.33,2520.56,2539.2,0
2015-06-24,00:00:00,2546.47,2553.06,2539.74,2547.81,0
2015-06-25,00:00:00,2543.58,2545.75,2526.11,2528.68,0
2015-06-26,00:00:00,2495.55,2496.24,2472.03,2484.26,0
2015-06-29,00:00:00,2442.97,2449.44,2405.82,2436.05,0
2015-06-30,00:00:00,2455.77,2477.21,2454.92,2465.14,0
2015-07-01,00:00:00,2454.13,2455.27,2450.03,2451.0,0
2015-07-02,00:00:00,2466.91,2468.61,2448.38,2452.11,0
2015-07-03,00:00:00,2443.08,2450.93,2416.21,2430.26,0
2015-07-06,00:00:00,2362.26,2364.18,2317.29,2354.3,0
2015-07-07,00:00:00,2323.2,2345.13,2313.68,2329.21,0
2015-07-08,00:00:00,2234.61,2248.0,2143.66,2202.62,0
2015-07-09,00:00:00,2276.01,2303.23,2270.18,2275.19,0
2015-07-10,00:00:00,2312.55,2330.44,2312.55,2322.54,0
2015-07-13,00:00:00,2327.39,2356.08,2319.04,2352.17,0
